Clasificacion_id;Tipo_Clasificacion
Cla-01;Campeon de Red Bull Nacional
Cla-02;Campeon de Red Bull Nacional predecesora
Cla-03;Campeon de Red Bull Centroamerica
Cla-04;Seleccion sin evento
Cla-05;Subcampeon Nacional
Cla-06;Campeon de la Internacional predecesora
Cla-07;Ganador del Mejor Segundo mediante votacion
Cla-08;Subcampeon de la Internacional predecesora
Cla-09;Tercer Lugar de la Internacional predecesora
Cla-10;Cuarto Lugar de la Internacional predecesora
Cla-11;Campeon del Torneo de Plazas
Cla-12;Campeon del Torneo de Subcampeones
Cla-13;Subcampeon de centroamerica
Cla-14;Subcampeon del Torneo de Plazas
Cla-15;Subcampeon del Torneo de Subcampeones
Cla-16;Otros
